1, 8;
2, 18;
3, ;
4, ;
5, ;
6, 26;
7, ;
8, ;
9, ;
10, ;
11, ;
12, 5;
13, 31;
14, ;
15, ;
16, ;
17, ;
18, ;
19, ;
20, ;
21, 8;
22, ;
23, 15;
24, ;
25, ;
26, ;
27, 28;
28, ;
29, ;
30, ;
31, ;
32, ;
33, 23;
34, ;
35, ;
36, ;
37, ;
38, 11;
39, ;
40, 13;
41, ;
42, ;
43, 31;
44, ;
45, ;
46, ;
47, ;
48, ;
49, ;
50, 25;
51, ;
52, ;
53, ;
54, ;
55, ;
56, 19;
57, ;
58, ;
59, ;
60, ;
61, 8;
62, 27;
63, ;
64, ;
65, ;
66, ;
67, ;
68, 10;
69, ;
70, 11;
71, ;
72, 5;
73, 13;
74, ;
75, ;
76, ;
77, 11;
78, ;
79, 23;
80, ;
81, ;
82, ;
83, ;
84, ;
85, 26;
86, ;
87, ;
88, ;
89, ;
90, ;
91, 11;
92, ;
93, ;
94, 22;
95, ;
96, ;
97, ;
98, ;
99, ;
100, 11;
101, ;
102, ;
103, 25;
104, ;
105, ;
106, ;
107, ;
108, ;
109, ;
110, 11;
111, ;
112, ;
113, 28;
114, ;
115, ;
116, ;
117, ;
118, ;
119, ;
120, ;
121, 13;
122, ;
123, ;
124, 24;
125, ;
126, ;
127, ;
128, ;
129, ;
130, 24;
131, ;
132, ;
133, ;
134, ;
135, ;
136, ;
137, 16;
138, ;
139, ;
140, ;
141, ;
142, 11;
143, ;
144, ;
145, 23;
146, ;
147, ;
148, ;
149, ;
150, 26;
151, ;
152, ;
153, ;
154, ;
155, ;
156, 14;
157, ;
158, ;
159, ;
160, 15;
161, ;
162, ;
163, ;
164, ;
165, 23;
166, ;
167, ;
168, ;
169, ;
170, 28;
171, ;
172, ;
173, ;
174, ;
175, ;
176, ;
177, 10;
178, ;
179, ;
180, 25;
181, ;
182, ;
183, ;
184, ;
185, ;
186, 30;
187, ;
188, ;
189, ;
190, ;
191, ;
192, ;
193, ;
194, 21;
195, ;
196, ;
197, ;
198, ;
199, ;
200, 10;
201, ;
